user_id,faculty_id,course_name,loceq,start_date,end_date,start_time,end_time
30527,177,analysis,3142-clwa-2065,2018-04-07,2018-04-08,08:00:00,12:17:00
9462,177,analysis,3142-clwa-2099,2018-02-06,2018-02-13,14:00:00,16:09:00
29615,177,analysis,3142-clwa-2065,2018-04-23,2018-04-25,19:00:00,22:49:00
31578,177,analysis,3142-clwa-2219,2018-03-19,2018-03-29,14:00:00,16:59:00
21151,177,analysis,3142-clwa-2019,2018-02-18,2018-02-23,21:00:00,23:40:00
18947,177,analysis,3144-clwa-4099,2018-03-30,2018-04-15,22:30:00,22:47:00
6502,177,analysis,3142-clwa-2209,2018-04-27,2018-04-28,00:30:00,02:33:00
21079,177,analysis,3142-clwa-2099,2018-04-03,2018-04-07,10:30:00,14:36:00
12348,177,analysis,3142-clwa-2219,2018-03-31,2018-04-10,14:00:00,16:02:00
6042,177,analysis,3143-clwa-3019,2018-04-06,2018-04-12,16:00:00,18:18:00
31087,177,analysis,3142-clwa-2209,2018-03-08,2018-04-11,04:00:00,08:21:00
43,177,analysis,3142-clwa-2231,2018-02-22,2018-03-09,13:00:00,13:15:00
22944,177,analysis,3142-clwa-2219,2018-03-16,2018-03-25,17:00:00,21:28:00
9508,177,analysis,3142-clwa-2059,2018-03-04,2018-04-12,21:30:00,01:56:00
8724,177,analysis,3146-clwa-6122,2018-04-07,2018-04-07,12:00:00,12:19:00
25908,177,analysis,3143-clwa-3019,2018-04-01,2018-04-24,10:00:00,11:53:00
33651,177,analysis,3144-clwa-4051,2018-02-17,2018-04-23,04:30:00,05:35:00
19875,177,analysis,3142-clwa-2219,2018-04-12,2018-04-20,23:30:00,03:28:00
1852,177,analysis,3142-clwa-2019,2018-02-23,2018-04-28,13:30:00,18:29:00
20954,177,analysis,3142-clwa-2059,2018-03-08,2018-03-27,22:00:00,02:40:00
20840,177,analysis,3142-clwa-2231,2018-04-28,2018-04-29,11:30:00,12:53:00
17026,177,analysis,3146-clwa-6217,2018-03-26,2018-04-20,13:00:00,14:03:00
28772,177,analysis,3142-clwa-2059,2018-02-24,2018-04-13,04:00:00,08:58:00
15201,177,analysis,3142-clwa-2019,2018-02-20,2018-04-23,10:30:00,10:32:00
30486,177,analysis,3142-clwa-2219,2018-04-05,2018-04-18,03:30:00,03:37:00
34724,177,analysis,3142-clwa-2099,2018-03-18,2018-04-08,00:30:00,04:23:00
19360,177,analysis,3142-clwa-2209,2018-03-12,2018-03-23,11:30:00,16:17:00
8239,177,analysis,3142-clwa-2219,2018-03-03,2018-04-06,20:00:00,20:30:00
25363,177,analysis,3142-clwa-2019,2018-02-11,2018-04-10,00:30:00,04:41:00
4591,177,analysis,3143-clwa-3231,2018-04-17,2018-04-28,00:00:00,00:56:00
32168,177,analysis,3143-clwa-3059,2018-03-10,2018-04-11,06:30:00,09:55:00
30791,177,analysis,3142-clwa-2059,2018-04-26,2018-04-28,20:00:00,20:43:00
